anchor_num,filename,correct_answer,option1,option2,option3,chart_column,text_chart_trend_year,option_type,modality_order_type,library,chart_type,ranking_year
590,BUV9CMcgCRcB.png,"1, 2, 3","No historical credit losses have been acknowledged by the organization where the 2020 ap value minus the 2023 ap value amounts to -1038.0, in relation to its indemnification programs.","Professional services aimed at accelerating business outcomes are offered by the organization that demonstrated a steadily declining trend in aoloch values from 2020 to 2023, assisting clients in digital transformations through implementation services and educational programs.",ALLSTATE CORP is the organization possessing the greatest aoloch value in the years where the pi value for VERIZON COMMUNICATIONS INC exceeds 28845.5.,aoloch,"(2020, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Table, Text+Chart, Table+Chart",matplotlib,scatter,0
882,CDZoRZBPo7Eo.png,"1, 3","The organization with the smallest aoloch value experienced a net sales increase of $1,586 million in the Oilseeds division in 2021.",BUNGE GLOBAL SA is the company with the smallest aoloch value in years when the cogs value plus txt value for SALESFORCE INC surpasses 7051.,Multimedia Broadcast Multicast Service (MBMS) technology is used by the organization where the sum of the 2019 ap value and the 2021 ap value equals 15765.0 to enhance network efficiency in video streaming.,aoloch,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Chart, Table+Chart, Text+Table",matplotlib,line,0
664,aVEFlGMYv9uD.png,3,Goodwill primarily linked to expected synergies from merging operations is possessed by the organization where the 2023 fiao value minus the 2019 fiao value is 30.0.,Credit risk concentrations associated with cash equivalents and accounts receivable are present in the organization that showed a consistently rising trend in sale values between 2019 and 2023.,MONDELEZ INTERNATIONAL INC. records the smallest sale value during the years when the sum of the fopo value and txditc value for US FOODS HOLDING CORP stays below 360.5.,sale,"(2019, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Table, Text+Chart, Table+Chart",seaborn,bar,0
402,40kRPLXRabp0.png,1,"Engaged in legal actions concerning MTBE pollution of groundwater, the organization with the smallest fopo value among its subsidiaries in 2019 is ETC Sunoco Holdings LLC and Sunoco (R&M), LLC.",A significant audit matter concerning self-insurance liabilities linked to workers' compensation for its operations in the United States was conveyed by the organization with cogs values below 41329 in 2022.,"ENERGY TRANSFER LP is the corporation whose total accumulated oiadp values exceed 24097, alongside fopo values that consistently rise across all years.",fopo,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Trend'}","Text+Chart, Text+Table, Table+Chart",matplotlib,scatter,0
744,tfrykfJhSG7G.png,"1, 2, 3","In every year, SALESFORCE INC. is identified as the organization with the cogs value below 107097 and aoloch value consistently declining.",An Employee Opinion Survey is conducted by the organization with the smallest aoloch value in 2021 to evaluate employee engagement and the workplace culture.,An Employee Opinion Survey is carried out by the organization where the ceq value for 2020 plus the ceq value for 2019 equals 75378.0 to assess employee engagement and the workplace culture.,aoloch,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Table+Chart, Text+Chart, Text+Table",matplotlib,scatter,0
855,usixmcXVO2RK.png,1,"A net loss from continuing operations of $1,364 million for the latest fiscal year was disclosed by the organization where the dpact value for 2019 minus the dpact value for 2022 equals 150.0.",SALESFORCE INC is the company with the highest aoloch value in the years when the nopi value minus the ibc value for SALESFORCE INC is below -3039.,"In 2019, the organization with the highest aoloch value initially records in-process research and development (IPR&D) as an intangible asset with an indefinite lifespan until completion, after which it is subject to amortization.",aoloch,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Table, Table+Chart, Text+Chart",plotly,bar,0
278,6dLHN3gmx7ie.png,"1, 3",A liability for postemployment benefits is recognized by the organization with ivncf values exceeding -2168.5 in 2019 when it is likely that payment will occur and the amount can be reasonably estimated.,"Liabilities tied to pension plans, which encompass both unfunded non-qualified plans and projections for planned contributions in the upcoming 12 months, are associated with the organization that experienced a consistently declining trend in aoloch values from 2019 to 2021.",BOEING CO holds the highest aoloch value in the years when the dltt value minus recch value for ALLSTATE CORP surpasses 9345.5.,aoloch,"(2019, 2021)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Table, Text+Chart, Table+Chart",plotly,scatter,0
829,h4ZS331WQq8o.png,"1, 3","Third-party data center facilities are employed by the organization where adding the nopi value for 2021 to the nopi value for 2020 results in a total of 3395.0, ensuring the secure functioning of its services.","The Inkster terminal, together with the Toledo North pipeline system, is used by the organization with the greatest ap value in 2020 for storage purposes.",MONDELEZ INTERNATIONAL INC. is the company with the niadj values totaling above 14693.5 and with ap values that consistently rise for every year.,ap,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Trend'}","Text+Table, Text+Chart, Table+Chart",matplotlib,line,0
262,5tAnnUTH7AgJ.png,2,VERIZON COMMUNICATIONS INC is the entity with the minimum aoloch value in the years when the sum of txt value plus fopo value for VERIZON COMMUNICATIONS INC is below 7301.,"In 2020, the organization with dltt values below 6847 maintained a stable attrition rate compared to the year before, contributing to a rise in subscription and support revenues.","From 2019 to 2023, the organization demonstrated a consistently declining pattern in aoloch values and has maintained a leading role in advancing 5G wireless technology standards.",aoloch,"(2019, 2023)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Ranking'}","Table+Chart, Text+Table, Text+Chart",matplotlib,line,0
890,ZRVYpODNtVR0.png,"2, 3",ENERGY TRANSFER LP is the organization with the greatest ap value in the years when the intan value minus the dlc value for SALESFORCE INC is below 24920.,"Particular nations and areas like Latin America, sections of AMEA, and certain countries from Europe are encompassed by the organization with the top ap value in the emerging markets of 2020.",A refinery services division that incorporates an off-gas processing facility and a fractionation/RGP splitting complex is possessed by the corporation where the sum of the 2021 oibdp value plus the 2023 oibdp value is 25322.0.,ap,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Ranking'}","Table+Chart, Text+Chart, Text+Table",seaborn,line,0
582,dnNP8ado4DnM.png,"2, 3","Goodwill and other intangible assets, representing the cost of acquired businesses exceeding the fair value of tangible net assets, are included by the organization where the difference between the 2023 oibdp value and the 2021 oibdp value equals 6088.0.",Revenue for software updates and support is designated by the organization with a steadily rising pattern in sale values between 2019 and 2023 when these services are delivered at no extra cost.,ABBOTT LABORATORIES is the organization with the greatest sale value in the years where the dpact value for SALESFORCE INC is below 1878.,sale,"(2019, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Table, Text+Chart, Table+Chart",seaborn,line,0
592,S3YDmowWcZTO.png,"1, 2, 3","Contingent repurchase obligations are held by the organization where the sum of the 2021 dpact value and the 2019 dpact value equals 39880.0, with the buyback price usually being less than the expected fair value on the specified repurchase date.",BUNGE GLOBAL SA holds the lowest oiadp value among companies in the years when the fopo value for BUNGE GLOBAL SA exceeds 1105.5.,"To be a responsible leader in its sector, the organization seeks to monitor and report its sustainability outcomes as it exhibited a steadily rising trend in oiadp values from 2020 to 2023.",oiadp,"(2020, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Table, Table+Chart, Text+Chart",matplotlib,scatter,0
539,4J8Z5YrNXRCh.png,"2, 3","ENTERPRISE PRODCT PARTNRS LP is the enterprise where, for each and every year, the ap value is below 3674.5 and the act value consistently rises.","Managing and operating around 11,600 miles of natural gas transport pipelines is the firm whose 2019 xint value plus the 2021 xint value equals 5079.0.",A partnership to merge with WarnerMedia has been formed by the organization that demonstrated a consistently upward trend in act values from 2019 to 2022 with AT&T Inc.,act,"(2019, 2022)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Trend'}","Table+Chart, Text+Table, Text+Chart",seaborn,line,0
577,5T8UHuf5f3Qv.png,"1, 3",Possessing the operational capability to handle up to 1.6 Bcf/d of natural gas and extract as much as 250 MBPD of NGL production from its Delaware Basin facilities is the organization where the value of ppent in 2022 minus the value of ppent in 2021 equals 2332.7.,"From 2019 through 2021, the organization that showed a consistently upward trend in sale values possesses the operational capacity to manage up to 1.6 Bcf/d of natural gas and extract up to 250 MBPD of NGL production from its facilities in the Delaware Basin.",ENTERPRISE PRODCT PARTNRS LP is the company with the highest sale value during the years in which the recch value for ENTERPRISE PRODCT PARTNRS LP falls below -1835.25.,sale,"(2019, 2021)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Table, Text+Chart, Table+Chart",plotly,line,0
169,pDvYTb4jHi4M.png,3,"Functioning in a challenging and fast-evolving market where new risks can emerge unexpectedly, the organization showed a consistently increasing trend in sale values from 2019 to 2021.",WORLD KINECT CORP is the company with the minimal sale value in the years when the intan value for WORLD KINECT CORP falls below 1056.2.,"In 2022, the organization with xsga values below 528.55 plans to assess potential increases in cash distributions each quarter, contingent upon management's evaluation and the Board's endorsement.",sale,"(2019, 2021)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Chart, Table+Chart, Text+Table",plotly,line,0
336,CTIMvRJKMAH7.png,"2, 3",ENTERPRISE PRODCT PARTNRS LP is the company for every year with the invt value exceeding 1979.65 and a sale value that consistently rises.,"In 2020, strategies to mitigate the impact of rising costs on its operating results are employed by the organization with invt values exceeding 2975.25.","Due to a Supreme Court decision in Spain, the organization, which had the smallest sale value in 2021, faced a negative tax expense of €114 million.",sale,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Table+Chart, Text+Table, Text+Chart",seaborn,line,0
578,EoI7GWC4K3UC.png,"1, 3","Comprising two reportable segments in its Property-Liability operations, the organization where the oiadp value of 2021 minus the oiadp value of 2022 equals 7782.0 includes Allstate Protection and Run-off Property-Liability.","Throughout the years when VERIZON COMMUNICATIONS INC's fincf value is less than -16410.5, ALLSTATE CORP is the organization that has the smallest aoloch value.",Additional funding for forthcoming acquisitions or investments might be pursued by the organization that showed a steadily declining trend in aoloch values from 2020 to 2023.,aoloch,"(2020, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Table, Table+Chart, Text+Chart",matplotlib,line,0
561,LTqvxgAonp7W.png,2,"Specialized services targeting industry verticals, customized to address the unique requirements of different sectors, are delivered by the organization that exhibited a consistently rising pattern in ap values from 2021 to 2023.",MONDELEZ INTERNATIONAL INC. is the company with the greatest ap value in the years where the pi value for ENERGY TRANSFER LP stays below 2735.5.,"Non-GAAP financial metrics, like Adjusted EPS and Adjusted EPS on a constant currency basis, are employed by the organization where the sum of the 2022 che value and the 2023 che value amounts to 26702.0, to improve the comparability of its foundational results from one year to another.",ap,"(2021, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Chart, Table+Chart, Text+Table",plotly,scatter,0
674,x5EEb7WWutzj.png,"1, 2",Expert services to assist clients with digital transformations utilizing Salesforce solutions are provided by the organization that showed a consistently declining trend in aoloch values from 2021 to 2023.,SALESFORCE INC is the firm with the minimal aoloch value in the years where the oiadp value plus the fopo value for VERIZON COMMUNICATIONS INC exceeds 36524.,The impact of certain accounting standards that are pending until finalized or executed on its financial outcomes cannot be estimated by the firm for which the fopo value in 2022 minus the fopo value in 2019 amounts to 2065.0.,aoloch,"(2021, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Chart, Table+Chart, Text+Table",plotly,line,0
639,IEyCtFgLhspz.png,"2, 3",ENTERPRISE PRODCT PARTNRS LP is the organization with the accumulated total of capx values exceeding 13644.5 and the oibdp values consistently rising throughout all years.,"Derivative instruments are used by the organization, where the 2019 capx value minus the 2021 capx value totals 2308.5, to manage risks related to changes in interest rates and commodity prices.","Revenue from shop cards is acknowledged by the organization that demonstrated a consistently upward trend in oibdp values between 2019 and 2022 at the time of redemption, while any remaining balances are recorded as a shop card liability.",oibdp,"(2019, 2022)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Trend'}","Table+Chart, Text+Table, Text+Chart",plotly,scatter,0
298,uBwbHzFrf0ah.png,none,"In 2020, an acquisition was finalized by the organization with oibdp values below 5636.5, with the total consideration amounting to $7,014 million.",ALLSTATE CORP is the organization whose ppent value is below 67293 and whose aoloch value consistently reduced for every year.,"In 2019, goodwill was recognized by the organization with the smallest aoloch value, mainly because of the assembled workforce and enhanced market opportunities from the acquisition.",aoloch,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Table, Table+Chart, Text+Chart",matplotlib,line,0
835,sx4PIag4Dzgn.png,"2, 3",Talent acquisition and diversity within its human resources strategies are emphasized by the organization where the capx value from 2019 plus the capx value from 2021 equals 2814.0.,"In 2019, talent acquisition and diversity within human resources strategies are the focus of the organization having the smallest oiadp value.",BUNGE GLOBAL SA is the company where the cumulative total of capx values is below 4319.5 and the oiadp values show consistent growth for every year.,oiadp,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Trend'}","Text+Table, Text+Chart, Table+Chart",matplotlib,line,0
645,JB0BsGzMKYhV.png,"1, 2, 3",SALESFORCE INC. is the organization with the total sum of ib values below 18935.5 and oancf values that consistently showed an upward trend for every year.,"Primarily investing in cash equivalents and marketable securities with the main goal of preserving capital, the organization exhibited a consistently upward trend in oancf values from 2020 to 2022.",A varied portfolio of counterparties in the energy sector is possessed by the company where the niadj value in 2019 minus the niadj value in 2020 equals 4240.0.,oancf,"(2020, 2022)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Trend'}","Table+Chart, Text+Chart, Text+Table",seaborn,bar,0
550,aujTbQO6POHb.png,none,WARNER BROS DISCOVERY INC holds the position with the top oibdp value in the years when the lt value exceeds 80809.5 for WARNER BROS DISCOVERY INC.,"The straight-line method is primarily used by the organization to depreciate most of its property, plant, and equipment, where subtracting the ivaco value for 2022 from the ivaco value for 2021 results in -14.0.",The Exchange of the Series A convertible preferred stock for Series A-1 and Series C-1 convertible preferred stock is regarded as a modification by the organization that exhibited a continuously upward trend in oibdp values between 2019 and 2023.,oibdp,"(2019, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Table+Chart, Text+Table, Text+Chart",seaborn,bar,0
551,qaCgrTqmEPFd.png,none,SALESFORCE INC is the organization with the greatest aoloch value in the years when the dpc value for BOEING CO is below 1920.,"Encountering competition in the fertilizer industry in Argentina from several leading companies, such as Nutrien Ltd. and Yara International ASA, is the firm that exhibited a consistently downward trend in aoloch values from 2021 to 2023.","To enhance connections with current customers through cross-selling and upselling, the organization where the difference between the 2023 sale value and the 2019 sale value amounts to 18400.0 seeks to take action.",aoloch,"(2021, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Table+Chart, Text+Chart, Text+Table",seaborn,scatter,0
299,59JYwP0sUOG0.png,none,"Expenses related to television/digital series, specials, films, and sports events constitute the main content expenditure for the organization that had the largest oibdp value in 2020.",Actuarial experts were engaged by the organization with ivncf values exceeding -2228 in 2023 to assist in evaluating assumptions for its actuarial projections.,ENTERPRISE PRODCT PARTNRS LP is the firm possessing an aoloch value that exceeds -5622 and an oibdp value that steadily rises throughout all years.,oibdp,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Chart, Text+Table, Table+Chart",matplotlib,scatter,0
792,CyrD96IFriE8.png,"2, 3",VERIZON COMMUNICATIONS INC is the business with the largest aoloch value in the years when the ivncf value for ALLSTATE CORP surpasses -609.,"The Quip Collaboration Platform, which integrates documents, spreadsheets, apps, chat, and real-time CRM data to enhance team collaboration, is offered by the organization where the ib value for 2020 minus the ib value for 2021 equals 2628.0.","Within the 2023 DAC adjustment, the organization that holds the highest aoloch value accounts for unrealized capital gains and losses in its product portfolios.",aoloch,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Table+Chart, Text+Table, Text+Chart",seaborn,scatter,0
161,wp61Qj0moFcl.png,2,"Maintaining a 55% consolidated stake in the Panola Pipeline via its subsidiary, Panola Pipeline Company, LLC, is the organization that showed a consistently rising oibdp values trend from 2019 to 2022.",The organization with dpc values exceeding 13070.5 reported a gain of $133 million from the divestment of its minority stake in Discovery Education in 2023.,ENTERPRISE PRODCT PARTNRS LP is the company with the minimum oibdp value in the years when WARNER BROS DISCOVERY INC has an ao value below 4234.,oibdp,"(2019, 2022)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Chart, Text+Table, Table+Chart",matplotlib,scatter,0
189,Fsq1n8zBMxYY.png,"1, 2, 3","In the 2022 Platform offering, businesses are enabled by the organization with oancf values below 7251.5 to develop personalized applications utilizing drag-and-drop tools.","During the periods when the oancf value for ABBOTT LABORATORIES surpasses 10057, SALESFORCE INC. is identified as the company possessing the minimal aoloch value.","From 2019 to 2022, there was a steady decline in the company's aoloch values, while its Platform offering provides businesses with the ability to create customized applications using drag-and-drop tools.",aoloch,"(2019, 2022)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Table, Table+Chart, Text+Chart",plotly,line,0
3,OkmKvozz8243.png,none,"In 2021, the organization possessing the smallest act value translates the financial statements of its foreign subsidiaries into U.S. dollars by applying the average exchange rates for the period to earnings and using the rates on the balance sheet date for net assets.",BUNGE GLOBAL SA is the company with the lo value below 3730 and the act value consistently rising for every year.,"In 2021, the organization with ivch values exceeding 1036 converts overseas subsidiaries' financial statements into U.S. dollars by using average exchange rates for earnings during the period and balance sheet date rates for net assets.",act,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Chart, Table+Chart, Text+Table",matplotlib,scatter,0
330,x02owvKjar8C.png,"1, 3",MONDELEZ INTERNATIONAL INC. is the organization with the lt value below 45111 and an ap value that consistently rises for every year.,"In 2019, an initial pre-tax gain of $757 million was realized by the organization with lt values below 29219.5 from the combination of Keurig with Dr Pepper Snapple Group, Inc.","Primarily marketed through a direct sales team, supported by a network of partners who assist in generating sales leads, are the services of the organization with the minimum ap value in 2019.",ap,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Table+Chart, Text+Table, Text+Chart",plotly,line,0
149,9QBDUw0qjXVo.png,none,"To present investors with a consistent perspective of performance across various time periods, the organization with che values exceeding 10226.5 in 2020 omits major operating and non-operating items from its equity method investees.",ABBOTT LABORATORIES holds the highest ib value in the years during which the dlc value for MONDELEZ INTERNATIONAL INC is greater than 3678.5.,Focusing on research and development related to nutritional products for both pediatric and adult populations is the organization that demonstrated a persistently rising trend in ib values from 2020 to 2023.,ib,"(2020, 2023)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Table, Table+Chart, Text+Chart",seaborn,line,0
266,aqFYp3k9W34B.png,3,"Holding a 60% ownership stake in the Bayou Bridge Pipeline, which it manages, the enterprise showed a steady upward trend in fopo values from 2020 to 2023.","In 2023, the organization whose dpact values surpassed 23133 reached a settlement agreement in principle regarding a federal lawsuit, resulting in its dismissal.",ENERGY TRANSFER LP has the lowest fopo value in the years when the oiadp value plus ap value for SALESFORCE INC surpasses 10041.,fopo,"(2020, 2023)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Chart, Text+Table, Table+Chart",plotly,line,0
444,8AwjbOFjw5jS.png,"1, 2, 3",COSTCO WHOLESALE CORP is the organization where the sum total of lo values remains below 10466.5 and the oibdp values consistently increase for every year.,"In 2023, the organization considered both automated and manual business process controls ineffective due to their reliance on the impacted ITGCs, as their lo values were below 556.5.","Goodwill is allocated to its reporting divisions, including U.S. Networks, Europe, Latin America, and Asia-Pacific, by the organization that recorded the lowest oibdp value in 2019.",oibdp,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Trend'}","Table+Chart, Text+Table, Text+Chart",plotly,scatter,0
360,mSl3hrJUX1il.png,2,Data security has been prioritized by the organization with the top aoloch value in 2023 through substantial investments in its cybersecurity initiatives.,"It was noted by the organization with ao values below 4558.5 in 2021 that the profitability of the 777X program hinges on numerous factors, including market unpredictability and alterations in production rates.",BOEING CO is the company with the highest aoloch value in the years when the cogs value for ALLSTATE CORP drops below 36691.,aoloch,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Chart, Text+Table, Table+Chart",matplotlib,bar,0
55,M1nPVqfwip6h.png,none,"Possessing a substantial collection of intellectual assets, including patents and licenses, the organization demonstrated a consistently rising trend in oibdp values from 2021 to 2023.",SALESFORCE INC. is the company with the smallest oibdp value in the years when the dpact value for ALLSTATE CORP is greater than 2705.,A worldwide leader in customer relationship management (CRM) technology is the organization where the ib value of 2022 minus the ib value of 2021 amounts to -733.0.,oibdp,"(2021, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Text+Chart, Table+Chart, Text+Table",matplotlib,scatter,0
378,R13EIWtEbXbW.png,"1, 2",ABBOTT LABORATORIES is the organization with the smallest oancf value in the years when its ceq value exceeds 37644.5.,"Swift diagnostic platforms for testing infectious diseases, such as the BinaxNOW® and Panbio® systems, are provided by the organization with the greatest oancf value in 2020.","To explore growth opportunities, the organization with capx values exceeding 2579 in 2022 focuses on strengthening relationships with current customers.",oancf,none,"{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Ranking'}","Table+Chart, Text+Chart, Text+Table",plotly,line,0
675,HqlAHFICO8NA.png,"1, 2",COSTCO WHOLESALE CORP is the business with the greatest oibdp value in the years when the dltr value plus cogs value for WARNER BROS DISCOVERY INC is below 5623.5.,"Undistributed profits of certain non-U.S. consolidated subsidiaries, totaling $3,225, are considered by the firm to be permanently reinvested where the 2022 cogs value plus the 2019 cogs value equals 328876.0.",Obstacles stemming from shifts in climate or weather patterns could be faced by the company whose exploration and production operations demonstrated a consistently upward trend in oibdp values from 2019 through 2022.,oibdp,"(2019, 2022)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Ranking'}","Table+Chart, Text+Table, Text+Chart",plotly,line,0
729,4YIR54xgGwaC.png,"1, 3",SALESFORCE INC. is the organization with the lt value below 154229 and the aoloch value that consistently declined for every year.,"The enterprise's largest acquisition involved Tableau Software, Inc., for a total of $14.8 billion, and the difference between its 2020 seq value and its 2023 seq value is 12447.0.","In 2022, the organization with the highest aoloch value has authorized 25 million shares of preferred stock, each having a par value of $1.",aoloch,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Table+Chart, Text+Table, Text+Chart",seaborn,scatter,0
623,qmbuVG7qhLeJ.png,"1, 2","To boost operational excellence, the organization plans to streamline consumer-focused sectors and enhance supply chain efficiencies, having demonstrated a consistently upward trajectory in sale values between 2020 and 2023.","Included in the Texas Intrastate System of the organization, where the sum of the 2019 dv value and the 2020 dv value is 7730.8, are the Enterprise Texas pipeline network, spanning 6,276 miles, and the Channel pipeline network, extending 617 miles.","ENTERPRISE PRODCT PARTNRS LP is the company where, for every year, the cumulative sum of dlc values exceeds 7698.6 and the sale values have steadily risen.",sale,"(2020, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Trend'}","Text+Chart, Text+Table, Table+Chart",seaborn,scatter,0
733,MLaRrR9LgMzr.png,"2, 3",The performance of its business segments is evaluated by the organization possessing the greatest act value in 2022 using the gross operating margin.,"WARNER BROS DISCOVERY INC. is the company, for every year, with an ap value below 3674.5 and an act value that increased continuously.","Hog Island wharf, positioned adjacent to the Fort Mifflin terminal along the Delaware River, is operated by the organization where the 2023 ppent value plus the 2022 ppent value totals 167307.0, and employs two ship docks for the intake of crude oil.",act,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'conditional_threshold_and_Trend'}","Text+Chart, Table+Chart, Text+Table",seaborn,scatter,0
203,5fdjM56EpBiY.png,1,SALESFORCE INC. is the firm with the total oibdp values under 127873.5 and the aoloch values consistently declining throughout all the years.,"Resources are allocated by the organization with ppent values exceeding 60012 in the year 2019 to performance-oriented investments, such as limited partnerships and equity securities, to address enduring immediate annuity liabilities.","Offering residential fixed connectivity solutions, which include Internet, video, and voice services, the organization showed a consistently declining trend in aoloch values from 2020 to 2023.",aoloch,"(2020, 2023)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Trend'}","Table+Chart, Text+Table, Text+Chart",plotly,line,0
821,RHNMk1RvJ5g8.png,3,"ABBOTT LABORATORIES is the organization, for every year, with the total sum of xsga values exceeding 45725.8 and the oibdp values that are consistently on the rise.","In 2022, customer relationships and contracts are included in the intangible assets from business purchases of the organization with the peak oibdp value.","The determination of the fair value of assets and liabilities by the corporation, where subtracting the 2022 dpact value from the 2019 dpact value results in -2289.0, involves using quoted market prices or observable inputs.",oibdp,none,"{'Text+Table': 'arithmetic', 'Text+Chart': 'Ranking', 'Table+Chart': 'arithmetic_and_Trend'}","Table+Chart, Text+Chart, Text+Table",plotly,scatter,0
612,FwymZMnvb4TY.png,2,"Crude oil gathering and transportation pipelines in Oklahoma, New Mexico, and Texas are managed by the organization with a consistently upward trend in act values from 2019 to 2023.",WARNER BROS DISCOVERY INC is the organization whose cumulative sum of dltt values remains below 196526.7 and has act values that continuously rise for every year.,"Operations involving crude oil collection and transportation pipelines across Oklahoma, New Mexico, and Texas are conducted by the organization where the sum of the xint value in 2021 and the xint value in 2019 is 5079.0.",act,"(2019, 2023)","{'Text+Table': 'arithmetic', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Trend'}","Text+Chart, Table+Chart, Text+Table",matplotlib,bar,0
268,jMuJiwzIh0lf.png,3,"The organization reported $83 million in unrecognized compensation tied to stock options and awards, with a consistently declining trend in aoloch values from 2020 to 2023.",VERIZON COMMUNICATIONS INC. holds the highest aoloch value in the years when the ao value minus oancf value for ALLSTATE CORP is greater than 5663.5.,"In the market for long-haul voice and IP services, the organization with niadj values exceeding 10732 in 2022 competes with traditional carriers and other network providers.",aoloch,"(2020, 2023)","{'Text+Table': 'conditional_threshold', 'Text+Chart': 'Trend', 'Table+Chart': 'arithmetic_and_Ranking'}","Text+Chart, Table+Chart, Text+Table",seaborn,scatter,0
